Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2014-12-19,Gross beta in air,Gross Beta,0.0166,0.001,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-08-22,Gross beta in air,Gross Beta,0.01216,0.00075,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-01-31,Gross beta in air,Gross Beta,0.0169,0.001,0.00017,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-09-12,Gross beta in air,Gross Beta,0.00981,0.00061,0.00012,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-03-14,Gross beta in air,Gross Beta,0.00749,0.00048,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-03-7,Gross beta in air,Gross Beta,0.00898,0.00057,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-09-19,Gross beta in air,Gross Beta,0.00681,0.00044,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2015-12-24,Gross beta in air,Gross Beta,0.01058,0.00066,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2015-01-16,Gross beta in air,Gross Beta,0.0348,0.0021,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2015-12-30,Gross beta in air,Gross Beta,0.01384,0.00085,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2015-03-27,Gross beta in air,Gross Beta,0.01158,0.00072,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2015-05-1,Gross beta in air,Gross Beta,0.01084,0.00067,0.00012,PCI/M3
ALBUQUERQUE,AIR-FILTER,2015-01-23,Gross beta in air,Gross Beta,0.0181,0.0011,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-10-12,Gross beta in air,Gross Beta,0.00935,0.00059,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-08-3,Gross beta in air,Gross Beta,0.00728,0.00046,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-09-21,Gross beta in air,Gross Beta,0.00921,0.00058,0.00015,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-04-20,Gross beta in air,Gross Beta,0.00643,0.00042,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-02-10,Gross beta in air,Gross Beta,0.0088,0.00056,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-11-16,Gross beta in air,Gross Beta,0.01504,0.00092,0.00015,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-12-28,Gross beta in air,Gross Beta,0.0053,0.00035,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-07-20,Gross beta in air,Gross Beta,0.01203,0.00076,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-11-2,Gross beta in air,Gross Beta,0.00993,0.00064,0.00019,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-08-31,Gross beta in air,Gross Beta,0.0059,0.00038,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-04-27,Gross beta in air,Gross Beta,0.00842,0.00053,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-01-6,Gross beta in air,Gross Beta,0.019,0.0011,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-01-27,Gross beta in air,Gross Beta,0.00786,0.0005,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-11-9,Gross beta in air,Gross Beta,0.00826,0.00052,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-09-7,Gross beta in air,Gross Beta,0.00504,0.00034,0.00015,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-08-24,Gross beta in air,Gross Beta,0.00717,0.00046,0.00015,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-08-10,Gross beta in air,Gross Beta,0.00617,0.0004,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-04-13,Gross beta in air,Gross Beta,0.00675,0.00043,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-01-13,Gross beta in air,Gross Beta,0.01383,0.00085,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-05-4,Gross beta in air,Gross Beta,0.0054,0.00035,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-09-14,Gross beta in air,Gross Beta,0.00873,0.00055,0.00015,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-12-7,Gross beta in air,Gross Beta,0.00935,0.00059,0.00015,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-11-30,Gross beta in air,Gross Beta,0.00703,0.00045,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-07-27,Gross beta in air,Gross Beta,0.00615,0.0004,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-04-6,Gross beta in air,Gross Beta,0.00702,0.00045,0.00016,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-01-20,Gross beta in air,Gross Beta,0.01195,0.00074,0.00015,PCI/M3
ALBUQUERQUE,AIR-FILTER,2016-08-17,Gross beta in air,Gross Beta,0.00746,0.00048,0.00016,PCI/M3
